"","9E","AA","AQ","AS","B6","CO","DH","DL","EA","EV","F9","FL","HA","HP","ML (1)","MQ","NW","OH","OO","PA (1)","PI","PS","TW","TZ","UA","US","VX","WN","XE","YV"
"1987",NA,20.1211597902302,NA,27.1944490316557,NA,42.3271377769695,NA,20.7403749044194,27.9432767868016,NA,NA,NA,NA,18.908332696623,NA,NA,22.6449156859482,NA,NA,23.5316109789608,18.3138123474546,29.0177140278858,32.4376762840999,NA,27.6171912075265,18.3662868191309,NA,19.5966541495887,NA,NA
"1988",NA,22.2608833270779,NA,19.5432669571122,NA,29.906163268881,NA,19.6655421633833,29.4656640982461,NA,NA,NA,NA,15.0053046081878,NA,NA,22.6331152022896,NA,NA,26.7468524085355,22.0070889647398,17.8539057718996,24.0205773594945,NA,26.3420736413366,20.1700071761989,NA,17.3781870681826,NA,NA
"1989",NA,26.0372849444452,NA,21.9921264331106,NA,27.700300266556,NA,21.3986740775552,27.5310047341706,NA,NA,NA,NA,16.0360255381438,NA,NA,23.5881098149836,NA,NA,30.8226904102532,27.1307436698602,NA,25.173885425617,NA,29.6244288511882,25.6672354229983,NA,19.396327277974,NA,NA
"1990",NA,27.9546842071125,NA,21.3076711902731,NA,27.4232386717352,NA,23.8514792865187,30.2784005449101,NA,NA,NA,NA,18.0086648597734,NA,NA,24.5962805559813,NA,NA,29.7061243809529,NA,NA,27.3851489405187,NA,27.1048194235158,21.3941038655522,NA,20.56957235692,NA,NA
"1991",NA,24.1592594700455,NA,18.689077379454,NA,25.1317567508431,NA,21.8271207594277,NA,NA,NA,NA,NA,20.6750053836077,26.9765816850251,NA,22.3603344761432,NA,NA,25.5948442905075,NA,NA,22.906754049384,NA,26.3029414163364,18.2019802686537,NA,19.1091012172968,NA,NA
"1992",NA,24.1477038183277,NA,19.6815798041886,NA,25.287100553426,NA,21.4906327775522,NA,NA,NA,NA,NA,17.9656537329315,NA,NA,21.7600410491633,NA,NA,NA,NA,NA,23.2703516758807,NA,24.0478162009313,20.5127799572288,NA,13.939795945007,NA,NA
"1993",NA,25.2737202338401,NA,16.10863510127,NA,28.0586576425943,NA,22.2253816771589,NA,NA,NA,NA,NA,18.9455655805476,NA,NA,21.6199263564056,NA,NA,NA,NA,NA,22.2778545232697,NA,25.931759650999,21.3816207657784,NA,16.4420011120933,NA,NA
"1994",NA,25.9997172105278,NA,16.3169575673776,NA,28.9355024385172,NA,21.1964978050677,NA,NA,NA,NA,NA,20.8758615633313,NA,NA,23.1234165838591,NA,NA,NA,NA,NA,25.7161467627023,NA,24.503760506361,24.0406661810102,NA,17.7099960535246,NA,NA
"1995",NA,30.3900060047694,NA,22.2528517859862,NA,28.1237702971215,NA,25.2461721312896,NA,NA,NA,NA,NA,24.4738631598922,NA,NA,28.7692017459015,NA,NA,NA,NA,NA,30.3909302171132,NA,27.7310591796915,21.8642609314184,NA,20.398147389769,NA,NA
"1996",NA,36.917785059183,NA,29.1261225883394,NA,32.2895237402592,NA,29.7948830607105,NA,NA,NA,NA,NA,29.3062670013056,NA,NA,32.3823527427395,NA,NA,NA,NA,NA,31.8808639207777,NA,32.3734997354946,25.8381391499951,NA,22.0573303234559,NA,NA
"1997",NA,34.3419013204436,NA,25.3435189012088,NA,31.5089607726945,NA,26.7988768096794,NA,NA,NA,NA,NA,27.2517869677222,NA,NA,33.7435390417169,NA,NA,NA,NA,NA,27.6958932946109,NA,29.1998345098523,23.0058342432734,NA,21.4674003471112,NA,NA
"1998",NA,34.2866053845943,NA,26.9717474227384,NA,35.6497591829112,NA,27.1293975947223,NA,NA,NA,NA,NA,36.5268417887005,NA,NA,38.5778631886921,NA,NA,NA,NA,NA,32.4273485381106,NA,34.3396174067846,27.6519708529952,NA,23.6907499399524,NA,NA
"1999",NA,39.3742885592172,NA,28.8176368671231,NA,37.5484176256044,NA,29.24672727245,NA,NA,NA,NA,NA,34.2201136594518,NA,NA,35.9808329259202,NA,NA,NA,NA,NA,32.11017141041,NA,35.1465858421557,32.5996396026548,NA,24.7056354702504,NA,NA
"2000",NA,41.608060223846,11.1245562857833,33.505971730572,NA,37.1922445427645,NA,32.9037796380392,NA,NA,NA,NA,NA,35.8688950438954,NA,NA,36.7909074796859,NA,NA,NA,NA,NA,33.8456580307545,NA,43.0910388909332,32.9573763519912,NA,28.4096803284013,NA,NA
"2001",NA,36.6513186022967,25.3055926178359,31.074570433167,NA,33.3645106656983,NA,29.8033165235993,NA,NA,NA,NA,NA,31.3710151196061,NA,33.0109220261251,34.8082780581566,NA,NA,NA,NA,NA,27.2049677368922,NA,36.2815291064377,28.7002589868837,NA,23.1149978829246,NA,NA
"2002",NA,34.9298820091571,NA,28.7229721483313,NA,29.6098990131817,NA,28.3631323852053,NA,NA,NA,NA,NA,27.452628476751,NA,29.7298397443742,34.8234014174481,NA,NA,NA,NA,NA,NA,NA,30.0282981825572,26.0449752026798,NA,22.6492410940034,NA,NA
"2003",NA,35.3327867157161,NA,28.369778180584,30.6766680690042,31.2665496015325,41.9872174376856,26.8100325410741,NA,32.4910196388651,NA,32.8861639515156,17.0760330345516,28.9161575905265,NA,32.4544396853677,30.1163752677768,NA,28.7978091887383,NA,NA,NA,NA,36.9565422578983,31.7905962529373,27.3483187353945,NA,21.7453654950153,29.9891070809285,NA
