"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"53","BRO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"54","BRW","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","BTM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","BTR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","453","628","996","397","0","0","0"
"57","BTV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","898","901","879","1054","0","0","1016"
"58","BUF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","12","427","711","1148","0","0","2260"
"59","BUR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","BWI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","547","571","102","283","0","0","2579"
"61","BZN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","29","21","4","0","0","0","6"
"62","CAE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1408","1420","992","365","0","0","280"
"63","CAK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","966","1044","1121","680","0","0","1221"
"64","CCR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","CDC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","CDV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","CEC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","CHA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","356","702","488","415","0","0","525"
"69","CHO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","349","254","0","0","0"
"70","CHS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1434","1579","1532","1224","0","0","625"
"71","CIC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","CID","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1877","1323","1619","1280","0","0","2656"
"73","CIU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","673"
"74","CKB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","CLD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","CLE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2498","2407","2581","2538","0","0","2571"
"77","CLL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","CLT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1092","1198","601","520","0","0","1586"
"79","CMH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2258","2077","2428","1689","0","0","1452"
"80","CMI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","246","0","0","0"
"81","CMX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","309","318","358","0","0","0","0"
"82","COD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","COS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","11","117","0","0","0","0","0"
"84","COU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","824","0","0","0"
"85","CPR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","437","32","75","0","0","0","0"
"86","CRP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"87","CRW","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","208","59","306","0","0","462"
"88","CSG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"89","CVG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3365","3145","1502","3590","0","0","16675"
"90","CWA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","686","562","534","346","0","0","1697"
"91","CYS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","DAB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","12","0","0","0"
"93","DAL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","531","1060","0","0","3"
"94","DAY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1715","2107","1432","1216","0","0","2706"
"95","DBQ","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"96","DCA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1768","1952","1791","745","0","0","2798"
"97","DEN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","435","719","12","0","0","0","322"
"98","DET","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"99","DFW","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","589","516","315","410","0","0","1792"
"100","DHN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"101","DIK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"102","DLG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"103","DLH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","959","940","1423","1608","0","0","1251"
"104","DRO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"105","DRT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"106","DSM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3953","3342","2593","1843","0","0","3530"
"107","DTW","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","51312","52040","54188","56321","0","0","67600"
"108","DUT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"109","EAU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","72","0","0","0","0","0","0"
"110","ECP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","529","0","0","6"
"111","EFD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"112","EGE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"113","EKO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"114","ELM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1205","1336","1318","1288","0","0","396"
"115","ELP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"116","ERI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","887","1398","1203","1239","0","0","1009"
"117","ESC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","628"
"118","EUG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"119","EVV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2030","2246","1436","750","0","0","1098"
"120","EWN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"121","EWR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","99","181","311","0","0","1268"
"122","EYW","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"123","FAI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"124","FAR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","810","742","338","409","0","0","639"
"125","FAT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"126","FAY","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"127","FCA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","250","6","0","0","0","0","0"
"128","FLG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"129","FLL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","245","357","99","0","0","0","108"
"130","FLO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"131","FMN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"132","FNT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","651","914","1736","1926","0","0","1560"
"133","FOE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"134","FSD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","725","606","710","1201","0","0","949"
"135","FSM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","302","478","577","796","0","0","0"
"136","FWA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1396","1443","1550","2211","0","0","2468"
"137","GCC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"138","GCK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"139","GCN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"140","GEG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","33"
"141","GFK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","249","489","621","934","0","0","828"
"142","GGG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"143","GJT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"144","GLH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0"
"145","GNV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"146","GPT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","571","873","1074","624","0","0","6"
"147","GRB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1056","937","967","1256","0","0","2144"
"148","GRI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"149","GRK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"150","GRR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1939","1983","1860","2000","0","0","1855"
"151","GSO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2533","2718","1237","517","0","0","872"
"152","GSP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2320","2587","1854","1781","0","0","2042"
