,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4303,2435,785,602,531,512,0,536,333,0,0
Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15367,15457,17994,22132,19431,16859,13362,17526,27824,0,0
Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308416,349811,384988,418736,414811,357139,297355,367015,385129,0,0
