,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,4379,5937,7410,6829,2208,105,33,25,16,22,0,0,0,18,108,124,100,214,365,17,0,26,399,0,0
Med,11437,11742,12080,11321,10334,6109,4326,4423,3959,3351,3190,3515,4002,3759,3582,3387,3500,3617,3373,3053,2505,2169,2070,0,0
Large,394506,409891,405244,403824,407018,478620,430066,409962,399374,395900,396824,389521,373279,321469,299052,295818,293061,305558,319413,295385,255654,237076,242849,0,0
