,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,455,0,0,0,0,0,0,0,0,106
Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,357,2526,2776,3415,3963,4630,5761,5475,5370,5975,5847
Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7352,45096,45407,48758,52212,57196,67159,62174,61370,68134,66333
