,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,0,0,0,0,0,0,0,0,0,0,9751,6594,5309,4882,3521,3488,3812,4279,4265,6253,6354,8334,9804
Med,0,0,0,0,0,0,0,0,0,0,0,0,56988,47948,42076,48486,55018,54581,58727,53581,46219,43431,39083,49077,50248
Large,0,0,0,0,0,0,0,0,0,0,0,0,422679,385442,381713,429720,473493,492019,477955,432833,386525,387292,402741,415729,379813
