"","small_est","small_se","med_est","med_est","large_est","large_se","pop_estimate","pop_se"
"1989",NA,NA,NA,NA,NA,NA,0,0
"1990",NA,NA,NA,NA,NA,NA,0,0
"1991",NA,NA,NA,NA,NA,NA,0,0
"1992",NA,NA,NA,NA,NA,NA,0,0
"1993",NA,NA,NA,NA,NA,NA,0,0
"1994",NA,NA,NA,NA,NA,NA,0,0
"1995",NA,NA,NA,NA,NA,NA,0,0
"1996",NA,NA,NA,NA,NA,NA,0,0
"1997",NA,NA,NA,NA,NA,NA,0,0
"1998",NA,NA,NA,NA,NA,NA,0,0
"1999",NA,NA,NA,NA,NA,NA,0,0
"2000",NA,NA,NA,NA,NA,NA,0,0
"2001",NA,NA,NA,NA,NA,NA,0,0
"2002",NA,NA,NA,NA,NA,NA,0,0
"2003",NA,NA,0.568755927841193,0.157553540664226,5.69787863742192,0.903699715136111,6.26663456526311,1.06125325580034
"2004",NA,NA,0.485745856863396,0.0733446134814266,8.2183152655275,1.19096698929454,8.70406112239089,1.26431160277596
"2005",NA,NA,1.19523017879104,0.15065898638023,12.8707366158834,1.84073136506298,14.0659667946745,1.99139035144321
"2006",NA,NA,0.231262444555382,0.0170891414148591,10.3525391396738,1.61096379736669,10.5838015842292,1.62805293878155
"2007",NA,NA,0.247619309998898,0.0858288851160186,5.72087015725501,0.923264629403073,5.96848946725391,1.00909351451909
"2008",NA,NA,0.337382978220783,0.0204308458203947,11.1736414718334,1.61091049176484,11.5110244500542,1.63134133758524
"2009",0.0337589244874013,0.00220723734310344,0.0868004428269329,0.0320070237839159,9.11314044270436,1.51881053739088,9.23369981001869,1.5530247985179
"2010",-0.0361565210868389,0.000744506654968424,0.485983688575975,0.150050032798308,4.69191741971791,1.36370720030444,5.14174458720704,1.51450173975771
"2011",0.0185097428315242,0.00089252972577164,-0.127696355358265,0.00559730663406761,4.17750460483569,1.52149580924397,4.06831799230895,1.52798564560381
"2012",-0.0474074311749984,0.000566583849846206,0.298548784847957,0.0481258307376421,-1.72829977126198,0.592795096501536,-1.47715841758902,0.641487511089025
"2013",NA,NA,-0.0538865127544763,0.000465950211495177,4.1720401352658,1.22178949681531,4.11815362251132,1.22225544702681
