"","small_est","small_se","med_est","med_est","large_est","large_se","pop_estimate","pop_se"
"1989",NA,NA,NA,NA,NA,NA,0,0
"1990",NA,NA,NA,NA,NA,NA,0,0
"1991",NA,NA,NA,NA,NA,NA,0,0
"1992",NA,NA,NA,NA,NA,NA,0,0
"1993",NA,NA,NA,NA,NA,NA,0,0
"1994",NA,NA,NA,NA,NA,NA,0,0
"1995",NA,NA,NA,NA,NA,NA,0,0
"1996",NA,NA,NA,NA,NA,NA,0,0
"1997",NA,NA,NA,NA,NA,NA,0,0
"1998",NA,NA,NA,NA,NA,NA,0,0
"1999",NA,NA,NA,NA,NA,NA,0,0
"2000",NA,NA,NA,NA,NA,NA,0,0
"2001",NA,NA,NA,NA,NA,NA,0,0
"2002",NA,NA,NA,NA,NA,NA,0,0
"2003",NA,NA,NA,NA,NA,NA,0,0
"2004",NA,NA,NA,NA,NA,NA,0,0
"2005",NA,NA,NA,NA,NA,NA,0,0
"2006",-0.0434172015067396,0.000391532274615843,1.47818724285261,0.303254060170548,9.37033222207551,1.79262793703257,10.8051022634214,2.09627352947774
"2007",-0.0460544046672691,0.00147749092222819,1.23687616643882,0.256750599629368,11.3228760257517,1.42454606424253,12.5136977875232,1.68277415479413
"2008",0.0710417238719126,0.0096691235541708,1.72376730867297,0.290213970842957,14.2244241585491,2.07845040027615,16.019233191094,2.37833349467328
"2009",0.0352376622099882,0.0113912783688848,0.349997005527908,0.097827863161965,5.95986737666647,1.77932681442467,6.34510204440437,1.88854595595552
"2010",-0.0471747226783068,0.000120496292660522,0.0781865970737235,0.14446645060947,2.75930998860027,0.870081180009284,2.79032186299568,1.01466812691141
"2011",-0.0103009014888322,NA,-0.114337041564239,0.0357243581644702,2.92851695435238,0.809566333839401,2.80387901129931,0.845290692003872
"2012",NA,NA,0.163264315996895,0.0471630935185225,0.485741362415903,0.788410398908744,0.649005678412798,0.835573492427267
"2013",NA,NA,0.896990048246174,0.140363083744728,9.7262790527908,1.57981049347589,10.623269101037,1.72017357722062
