,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197,364,783,853,854,946,1183,1306,1429
Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,449,915,2627,2475,1889,1929,2082,3308,3302
Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67184,89616,110404,154453,188040,192763,191593,198559,212705,224442,237046
