"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"2","Small","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","970","1687","1696","1182","76"
"3","Med","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8389","9155","10454","10606","12819","11596","7984","8269","7502","3428","461"
"4","Large","0","0","0","0","0","0","0","0","0","0","0","0","0","0","136311","153403","184938","227039","250340","250088","242461","238888","239505","213552","173415"
