,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2222,3143,1562,1049,135,166,137,0,0,0
Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31200,33461,16366,6177,4731,3057,4270,0,0,0
Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339924,344733,260171,226561,192741,148551,143226,0,0,0
