,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,628,929,742,1074,1490,1830,2089,2202,2294,2334,2189,2107,1973,2185,2210,1609,1481,1372,1294,1125,1062,1199,1716,1800,1819
Med,9066,9445,9713,10504,10243,10696,11475,11085,10903,11077,11056,10928,11276,11578,11128,11007,10977,11186,11302,11282,11215,11232,11208,11197,11111
Large,79428,87560,88497,90629,86698,104949,121560,131004,134553,138809,142853,141136,143198,145431,148256,154376,145642,146846,147589,138695,125045,124519,130802,134572,141813
