"","small_est","small_se","med_est","med_est","large_est","large_se","pop_estimate","pop_se"
"1989",NA,NA,NA,NA,NA,NA,0,0
"1990",NA,NA,NA,NA,NA,NA,0,0
"1991",NA,NA,NA,NA,NA,NA,0,0
"1992",NA,NA,NA,NA,NA,NA,0,0
"1993",NA,NA,NA,NA,NA,NA,0,0
"1994",NA,NA,NA,NA,NA,NA,0,0
"1995",NA,NA,NA,NA,NA,NA,0,0
"1996",NA,NA,NA,NA,NA,NA,0,0
"1997",NA,NA,NA,NA,NA,NA,0,0
"1998",NA,NA,NA,NA,NA,NA,0,0
"1999",NA,NA,NA,NA,NA,NA,0,0
"2000",NA,NA,NA,NA,NA,NA,0,0
"2001",NA,NA,NA,NA,NA,NA,0,0
"2002",NA,NA,NA,NA,NA,NA,0,0
"2003",-0.132439269711611,0.0147349084998617,2.01517212971974,0.427285752161304,7.10282525497538,1.16581834918932,8.98555811498351,1.60783900985049
"2004",0.213286368477485,0.0427625717142885,0.395299805009418,0.15919910993668,0.779201383504139,0.543219342871214,1.38778755699104,0.745181024522182
"2005",1.07992529058221,0.131849606715691,1.48041919071374,0.252538954962701,7.29202116063318,1.34763593780927,9.85236564192914,1.73202449948766
"2006",0.0639289899340674,0.0230618673726703,1.5610725246801,0.174382958802993,10.0084081011256,1.67087284361699,11.6334096157397,1.86831766979265
"2007",0.419056589721833,0.0452170374986951,3.26775843941997,0.71759252558741,10.8245642794804,1.14600834587154,14.5113793086222,1.90881790895764
"2008",0.184810625962079,0.0142720688697095,2.65600147221002,0.362815123717486,6.29235885273593,0.943802040289713,9.13317095090803,1.32088923287691
"2009",0.448848383500557,0.0658040533749933,2.98288654228138,0.379595302204823,12.0646106924249,1.71760658809546,15.4963456182068,2.16300594367528
"2010",0.476932921386396,0.132735574370729,0.95301620807976,0.312949679508554,4.90169146754892,1.25348996982822,6.33164059701507,1.6991752237075
"2011",0.0337625673378849,0.012346685807789,1.91404025169147,0.31040606594869,9.15857916549291,1.5713987379986,11.1063819845223,1.89415148975508
"2012",0.0757970673932637,0.0279063982699967,0.687858902642316,0.19605042142921,7.01291906100842,1.68019162569216,7.776575031044,1.90414844539137
"2013",-0.0542378166353718,0.00241667508191998,1.13798056888243,0.282295482391622,12.9807041203252,2.25052731520653,14.0644468725723,2.53523947268007
