,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1654,1660,2397,2325,589,161,0,0
Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34435,36505,32958,29324,16544,12968,6402,5698
Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268675,256197,219575,212479,157664,143168,127574,135224
