,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10087,11224,9784,9370,10516,12441,13161,16987,16279,17945,22010
Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83614,107862,107241,108619,112645,103678,94836,108888,100839,105039,100239
Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303100,344362,400429,430120,474721,451040,439575,473745,470254,494772,504110
