"","9E_est","9E_se","AA_est","AA_se","AQ_est","AQ_se","AS_est","AS_se","B6_est","B6_se","CO_est","CO_se","DH_est","DH_se","DL_est","DL_se","EA_est","EA_se","EV_est","EV_se","F9_est","F9_se","FL_est","FL_se","HA_est","HA_se","HP_est","HP_se","ML (1)_est","ML (1)_se","MQ_est","MQ_se","NW_est","NW_se","OH_est","OH_se","OO_est","OO_se","PA (1)_est","PA (1)_se","PI_est","PI_se","PS_est","PS_se","TW_est","TW_se","TZ_est","TZ_se","UA_est","UA_se","US_est","US_se","VX_est","VX_se","WN_est","WN_se","XE_est","XE_se","YV_est","YV_se"
"1",0,0,7.52714817242123,0.642696339355473,0,0,7.18081501658592,0.379969152556064,0,0,5.31013909679367,0.909173281707641,0,0,8.05616372900468,0.456339841853447,7.10082097662344,1.14658922832672,0,0,0,0,0,0,0,0,5.90909093301352,0.240812057837215,0,0,0,0,4.62090140059838,0.534849652965628,0,0,0,0,11.4479399150212,0.80464951670581,13.6574990953376,0.587022088512694,0,0,9.91965184984141,0.774723497954529,0,0,10.6049833220921,0.717185615214524,8.88113287024311,0.533626152037915,0,0,8.86690007072944,0.469297560735141,0,0,0,0
"2",0,0,6.50944549500079,0.671866410233606,0,0,5.57513478558452,0.365760417725082,0,0,9.67519319654202,1.04877072172772,0,0,9.26747251814258,0.682893739881832,6.38185862766635,0.824082392436532,0,0,0,0,0,0,0,0,6.10802077820757,0.246893602774191,0,0,0,0,4.4030724948085,0.773765238623003,0,0,0,0,2.215683513742,0.718172394204817,0,0,0,0,7.87897663717437,0.660389238114794,0,0,7.49496655061733,0.604656147499557,7.82994919722769,0.716888372231663,0,0,5.585019341775,0.423444055306255,0,0,0,0
"3",0,0,2.79906857391968,1.19753734272646,0,0,3.81123074255053,0.201311252939244,0,0,4.80042475288346,0.583401203905843,0,0,7.39200433858374,0.445700620259159,0,0,0,0,0,0,0,0,0,0,6.81028087736714,0.398722201638691,6.88222100933437,0.869772776154233,0,0,1.52961287683029,0.481330220396886,0,0,0,0,-0.0942070119916243,0.519357738836875,0,0,0,0,6.98567308137104,0.482246426771052,0,0,7.93567108214689,0.675802030488809,4.15031794976816,0.337693261219599,0,0,7.1379878177765,0.436406097496315,0,0,0,0
"4",0,0,4.64905631034878,0.462198959935705,0,0,4.65280700743252,0.410931759160719,0,0,6.55438562937115,0.587852350493091,0,0,6.82596646417297,0.337004528951247,0,0,0,0,0,0,0,0,0,0,2.12825345959492,0.47200061537114,0,0,0,0,0.211203971838304,0.505437353716781,0,0,0,0,0,0,0,0,0,0,2.94626994279839,0.406854958418543,0,0,3.66733148069864,0.481496273159674,4.41980060219916,0.232395915690016,0,0,0.69194693068461,0.211136762754371,0,0,0,0
"5",0,0,7.36177707433313,0.626902782053883,0,0,3.67277648812306,0.232275379081012,0,0,4.95761837246301,0.745712732794852,0,0,10.1759287034453,0.524848159029564,0,0,0,0,0,0,0,0,0,0,4.61702127659574,0.429422063557155,0,0,0,0,3.67756512166657,0.753207240179635,0,0,0,0,0,0,0,0,0,0,2.34792342143827,0.388439270555947,0,0,6.52185827503932,0.557088391543149,5.15775333211365,0.708441521075751,0,0,3.57616170675188,0.346111077541527,0,0,0,0
"6",0,0,6.52834765903218,0.725219450710506,0,0,4.74049457388903,0.209145942725587,0,0,10.7772765324682,1.46068227043031,0,0,6.74763061130517,0.528748168304412,0,0,0,0,0,0,0,0,0,0,8.27152988855116,0.545980947591407,0,0,0,0,2.79150710091174,0.677809499791745,0,0,0,0,0,0,0,0,0,0,8.08941727498292,1.01681633569695,0,0,5.75061462571158,0.659135596842111,6.5043109282699,0.627931239260199,0,0,2.92547834843907,0.229289818434517,0,0,0,0
"7",0,0,7.31673663618089,0.593797636953626,0,0,8.18391180247929,0.402869935412926,0,0,8.17079772112563,0.897138571750804,0,0,6.93817574554917,0.539088511814195,0,0,0,0,0,0,0,0,0,0,9.1989847715736,0.496629681624195,0,0,0,0,3.7539701068543,0.550456130353622,0,0,0,0,0,0,0,0,0,0,9.32137899214197,0.77461816000243,0,0,5.24473856885429,0.69683366533507,5.26958970605244,0.402904705675677,0,0,6.28309572301426,0.34031694827535,0,0,0,0
"8",0,0,11.3969077434034,1.0534366213807,0,0,9.46903839706534,0.447658432716006,0,0,10.2692152883161,1.31061425693076,0,0,13.3335119472509,0.938387360881217,0,0,0,0,0,0,0,0,0,0,12.8221544715447,0.840356500157889,0,0,0,0,6.69218786605319,1.00501901556115,0,0,0,0,0,0,0,0,0,0,12.4386470395078,1.02515063434046,0,0,9.89595405494973,0.92877017887978,9.76368591741692,0.711055416246642,0,0,6.03051881993896,0.485644206014501,0,0,0,0
"9",0,0,7.14470513679394,1.25920101867166,0,0,6.69543641215513,0.380053929868874,0,0,8.26223870062685,1.29825142332276,0,0,10.6722732838216,0.873645252741527,0,0,0,0,0,0,0,0,0,0,8.91801619433198,0.690640427583449,0,0,0,0,10.9140957814977,1.28339055038994,0,0,0,0,0,0,0,0,0,0,7.16054963100048,1.00023796255296,0,0,7.44797731257616,0.616371649301733,6.44402200985774,0.716601918708963,0,0,5.7920892494929,0.356045280029042,0,0,0,0
"10",0,0,4.64707367277769,1.05423420176623,0,0,10.8683500826041,0.771707584190796,0,0,9.93619222381122,1.48669526830344,0,0,8.55753717275313,0.941300815144715,0,0,0,0,0,0,0,0,0,0,14.0704828584085,1.06992705547528,0,0,0,0,11.0123402207247,2.35636746555284,0,0,0,0,0,0,0,0,0,0,11.8368247262882,1.28614408434351,0,0,12.8657254141881,1.29645669716579,6.93817604152985,0.880788900189797,0,0,6.83418107833164,0.447179780883232,0,0,0,0
