,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,851,1361,1175,1066,1186,330,0,0,0,17,107,102,31,31,45,110,44,52,4,26,62,397,389
Med,14498,15731,15628,15916,16154,11150,9638,8898,8606,8818,8632,8446,6284,3899,1614,1769,1928,2160,2771,4265,2943,2612,2403,3827,3318
Large,560176,590982,613614,622072,631757,626534,713983,726038,735241,739641,765738,768096,698586,583886,542312,554012,483945,497738,487187,445198,374102,340443,308747,527021,502091
