,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,344,545,2145
Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,92,0,253,251,660,2165
Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53255,90180,97760,95670,86989,81668,84890,78050,71302
