,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2125,1775,2010,2807,0,0,3962
Med,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34617,32165,36570,43715,0,0,36708
Large,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222109,228268,224393,214842,0,0,256031
