"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"2","Small","563","709","690","286","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Med","6556","5043","2584","2195","1556","2450","2920","2692","2956","3181","4436","3726","2921","0","0","0","0","0","0","0","0","0","0","0","0"
"4","Large","269352","258430","228495","243968","243226","255755","269532","279484","271081","270892","271394","263405","241800","0","0","0","0","0","0","0","0","0","0","0","0"
