"","small_est","small_se","med_est","med_est","large_est","large_se","pop_estimate","pop_se"
"1989",NA,NA,NA,NA,NA,NA,0,0
"1990",NA,NA,NA,NA,NA,NA,0,0
"1991",NA,NA,NA,NA,NA,NA,0,0
"1992",NA,NA,NA,NA,NA,NA,0,0
"1993",NA,NA,NA,NA,NA,NA,0,0
"1994",NA,NA,NA,NA,NA,NA,0,0
"1995",NA,NA,NA,NA,NA,NA,0,0
"1996",NA,NA,NA,NA,NA,NA,0,0
"1997",NA,NA,NA,NA,NA,NA,0,0
"1998",NA,NA,NA,NA,NA,NA,0,0
"1999",NA,NA,NA,NA,NA,NA,0,0
"2000",NA,NA,NA,NA,NA,NA,0,0
"2001",0.170458017936043,0.0331246642498431,0.805889745306509,0.112497153953962,11.051540475071,1.08310719125912,12.0278882383135,1.22872900946292
"2002",0.0349694534346704,0.00772955049634413,0.261132823354812,0.0675480236597277,4.37914404879695,0.92654634364157,4.67524632558643,1.00182391779764
"2003",-0.0915562412316068,0.0020369908343661,-0.408742255173705,0.0355024550954567,2.81265886975159,1.24884402513742,2.31236037334627,1.28638347106725
"2004",0.0151587288444341,0.00744513840437984,1.06848829819826,0.27009008322958,9.84521397898345,1.15684555089287,10.9288610060261,1.43438077252683
"2005",0.00472715926861542,0.000482309469043779,0.607156101977935,0.159246626792436,6.47044114124478,0.79759849689962,7.08232440249133,0.9573274331611
"2006",-0.0348744200927852,0.00066827488335924,0.406095418360054,0.0740268476968308,7.7830435839943,0.80493876433906,8.15426458226157,0.87963388691925
"2007",0.18941825176862,0.0132695846943179,1.70893178951251,0.456507326265745,14.6061154190763,2.13987148678015,16.5044654603575,2.60964839774021
"2008",0.318291681356775,0.0776763473336818,1.49373900146254,0.315154625320476,11.6594096444874,1.62705802120587,13.4714403273067,2.01988899386003
"2009",0.0673407183833743,0.0112772491939933,0.799763108289477,0.198927586537637,8.38246596184603,1.71335757973742,9.24956978851888,1.92356241546905
"2010",-0.0825560213833254,0.00139648809231486,0.0543058204711141,0.058566761879739,7.59004850133218,1.19140153290759,7.56179830041996,1.25136478287965
"2011",0.308631151702431,0.139845117531611,1.94826924711643,1.53307473909644,6.15054375716791,0.877405085460883,8.40744415598677,2.55032494208894
"2012",-0.194792736386942,0.00347961316386361,-0.614058925476603,0.0324147556699606,0.024463840186219,0.69190161547796,-0.784387821677326,0.727795984311784
"2013",0.452864980267706,0.103097927786924,0.284509934330194,0.110260803541592,11.6454029777892,1.78073042920973,12.3827778923871,1.99408916053824
