,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ELP,3155,2881,2731,3002,3296,3558,3837,3970,3888,4179,3938,4061,3946,3915,3181,3395,3368,3572,3608,3546,3374,3216,2781,2711,2786
ERI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ESC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EUG,1577,698,692,721,516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EWR,8206,8828,8918,9303,10477,10616,11212,11877,13064,11745,11245,11061,9930,11411,10108,9041,8242,7563,6899,5992,5255,5069,4338,3435,3487
EYW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAR,0,0,0,469,695,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAT,0,371,570,697,710,710,700,514,365,365,364,366,364,632,808,850,728,728,729,730,771,728,719,721,716
FAY,696,697,706,861,1061,332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FCA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FLL,2785,2700,2909,2516,3049,3495,2534,2868,4499,4254,4391,5124,5294,7682,8659,9090,7292,6715,5899,4513,2634,2755,3625,3910,3806
FLO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FNT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FOE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSD,0,0,0,475,625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FWA,1330,522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GEG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GFK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GGG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GJT,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GLH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GNV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GRR,2288,2067,1964,1727,1759,1172,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GSO,1887,1889,2506,2926,2529,1281,729,732,728,730,883,731,698,598,0,0,130,248,246,178,0,0,0,0,0
GSP,1826,1501,1580,1069,1076,483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GUC,253,317,165,135,109,108,148,158,121,121,119,118,118,92,0,0,17,119,128,113,126,95,17,107,100
GUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDN,538,455,407,240,210,159,162,142,121,121,134,210,133,235,229,232,238,239,253,241,238,238,225,214,187
HHH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HKY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HNL,3700,3548,2766,2754,2837,2856,2917,2803,2238,2121,2008,2480,2614,3355,3277,3369,3278,2913,2817,2766,2508,2730,2453,2126,2242
HOB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HOU,3482,3189,4086,4845,4706,3338,2128,0,0,602,2558,2573,2537,1458,1238,1231,1239,314,0,0,0,0,0,0,0
HPN,0,0,0,0,594,940,986,990,1014,1022,1328,1529,1848,1944,2014,1588,169,0,0,0,0,0,0,0,0
HRL,1792,1745,1352,1432,1602,1624,1399,830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HSV,2156,2165,2598,2815,2813,2821,2229,1196,1093,1094,1288,1426,1350,1291,880,708,974,727,729,770,1033,1035,979,740,764
HTS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HVN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IAD,6015,5638,2979,3722,4355,4162,4227,4621,4655,4750,4810,4646,5259,6931,5035,4090,4201,3945,3820,3713,3603,4085,3723,3363,3323
IAH,6960,6692,6107,7012,7420,8120,8320,7377,7300,7428,6934,6667,6289,7195,5476,5269,5851,5318,4531,4325,3781,3316,3244,3911,4771
ICT,1748,1706,1731,1734,1372,162,0,455,1820,1820,1788,1806,1673,2739,1067,707,982,1163,1402,1586,1472,1408,1373,1387,1399
IDA,792,875,359,498,517,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ILM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IND,2994,2709,3834,4034,3684,2836,2255,1794,1459,1459,1608,1554,1599,3728,3531,3884,4026,3030,2856,2565,2230,1788,1779,1775,1979
INL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IPL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ISP,2088,2153,2229,2112,2117,1510,733,996,759,729,939,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ITH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ITO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IYK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAC,530,505,458,570,527,516,315,231,235,270,253,297,361,347,379,279,324,347,369,349,365,344,292,242,225
JAN,2111,2070,2063,2371,1992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JAX,2321,2370,3268,4147,3003,2207,759,731,928,1093,1093,1094,1093,2152,1330,1089,1374,1442,1422,1366,1259,1418,1411,1292,1403
JFK,8537,9087,9009,10102,11364,10703,11433,10796,10473,10510,11575,12315,13023,15359,14334,14864,13289,12340,11750,11946,10954,12064,14308,13855,13783
JLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JNU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KOA,0,0,0,0,0,0,0,0,0,0,0,0,118,365,408,540,538,590,365,351,353,496,365,366,365
KSM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
KTN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAS,5218,5137,4899,5299,4741,4526,5386,4867,4435,3922,6587,10253,8130,9651,9319,9262,8454,7541,7107,7384,7796,8258,9179,9229,9869
LAW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LAX,22869,23220,18050,20017,18445,17327,21918,22686,24138,23956,27705,39509,39073,33878,29486,32296,31447,31038,30838,28982,27814,28066,28782,29834,30711
LBB,1446,1426,1434,1678,1397,954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,483
LCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LEX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LFT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA,10376,10954,12022,14601,16143,17118,17954,17818,18423,18457,19104,19856,19673,21346,23265,23004,22587,22230,21824,20877,17006,16339,15879,15669,15459
LGB,1921,2083,1602,1479,1228,327,0,0,1127,1421,1610,1939,1399,2170,2752,2354,1645,250,0,0,0,0,0,0,0
LIH,0,0,0,0,0,0,0,0,0,0,0,0,0,200,411,476,632,624,366,366,365,496,551,602,606
LIT,2879,2813,2899,3113,2887,2789,1738,1097,1093,1094,1092,1095,1093,2508,1406,0,0,0,0,0,0,0,766,1153,1093
LMT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LNY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LRD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LWB,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LWS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LYH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAF,1446,1425,1547,1437,698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MAZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MBS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCI,4151,3993,4690,5165,5670,5606,6203,5792,6405,6291,6156,6028,5745,8604,8610,7189,7248,5854,5367,4867,4470,4050,4150,3494,3379
MCN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MCO,4916,5798,5617,5911,7967,8920,7401,7425,6807,6645,7287,8105,7774,11764,11940,11586,11294,11517,10945,10535,8753,8703,9581,9770,9690
MDT,1044,1267,1371,1315,1226,1056,1094,1093,1093,1094,1092,1095,849,598,0,0,0,0,0,0,0,0,0,0,0
MDW,0,0,0,328,0,0,0,0,0,882,1654,1570,1383,1798,2531,1651,1331,695,0,0,0,0,0,0,0
MEI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MEM,2467,2430,2421,2740,3646,3382,2899,1948,1449,1455,1663,1788,1702,1681,1297,721,1068,1283,1707,1703,1701,1530,1350,1401,1396
MFE,0,0,1038,1075,1238,1435,1434,1119,1094,1094,1091,1113,1224,1100,1300,1182,1452,1437,1427,1441,1430,1394,1352,1362,1625
MFR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MGM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MHK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MHT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MIA,7917,13089,20972,28949,33594,34812,39181,38692,37148,37522,37604,38526,36096,37396,38986,41222,40918,40878,40109,41058,40963,42620,45287,46032,47615
MIB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MKE,3826,2920,2378,3032,3030,1128,269,0,0,0,0,0,0,216,0,0,0,0,0,0,0,0,674,516,705
