,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,1489,1205,422,220,335,173,168,158,121,122,119,118,118,92,0,0,17,119,128,113,126,95,17,107,100
Med,13557,13125,14134,16256,15581,10309,8517,6875,7180,6995,7023,6979,7180,8160,5470,4548,4646,4638,4875,4692,4387,4430,4687,4679,4672
Large,708206,697730,710635,765895,770780,711795,679786,648506,656653,646802,685511,735168,709687,844187,746771,694000,668906,638840,628854,600080,547084,536438,533475,520434,533119
