,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Small,3,14,26,45,71,85,82,78,78,101,94,86,0,0,0,2,14,0,0,2,15,13,0,0,0
Med,30648,31056,35926,40150,41063,38644,38115,31679,29512,25943,18838,15303,12266,10634,9508,6676,8663,5154,4974,4196,3167,9438,11663,13359,15770
Large,752669,792992,838839,876398,857762,835797,845822,856549,892260,889051,895198,892640,822970,718124,651109,680960,649625,500932,470915,447733,424825,723522,720668,713520,738900
