"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"2","Small","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Med","0","0","0","0","0","0","0","0","0","0","0","914","4073","0","0","0","0","2502","3245","532","0","0","0","0","0"
"4","Large","0","0","0","0","0","0","0","0","0","0","0","10122","49725","0","0","0","0","32885","43115","7268","0","0","0","0","0"
