"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"52","BRD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"53","BRO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1610","1837"
"54","BRW","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"55","BTM","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"56","BTR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3206","3236","2587","2402","2631","2605","2420","3307","3486","5491","6682"
"57","BTV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","30","423","570","466","306","382","97","2183","2736"
"58","BUF","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","565","1013","789","817","507","143","608","547","2558","2838"
"59","BUR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"60","BWI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","190","42","307","145","143","61","14","41","805","2387","1398"
"61","BZN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79","607","0","0","0","0","0","0","0"
"62","CAE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2813","2923","3197","3174","3303","3279","3736","5282","4793","4573","5110"
"63","CAK","0","0","0","0","0","0","0","0","0","0","0","0","0","0","763","425","1498","1033","1653","2303","2338","2098","1392","1698","1614"
"64","CCR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"65","CDC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"66","CDV","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"67","CEC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"68","CHA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2449","2665","2498","1821","1858","1990","2979","3230","3351","3599","2758"
"69","CHO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","669","884","1130","1006","970","821","962","1029","1035","1033","1085"
"70","CHS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1764","1503","1109","274","607","591","640","1640","785","4406","4693"
"71","CIC","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"72","CID","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","206","345","520","288","0","112","2802","2398"
"73","CIU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"74","CKB","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"75","CLD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"76","CLE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","335","31","844","1359","1354","1754","2147","2254","1046","18874","16339"
"77","CLL","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","747","1271"
"78","CLT","0","0","0","0","0","0","0","0","0","0","0","0","0","0","491","426","968","585","264","374","230","615","1071","5437","6829"
"79","CMH","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","319","155","966","1136","3592","3610"
"80","CMI","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","228","0","0","0","0","0","0","0"
"81","CMX","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"82","COD","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"83","COS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","68","652","1003"
"84","COU","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","521","76"
"85","CPR","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"86","CRP","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1366","1797","1066","668","626","6","0","0","0","2874","3124"
"87","CRW","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1812","1627","1477","1431","1844","1597","1995","1611","1663","3332","2804"
"88","CSG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2197","2173","1763","1335","1398","1481","1428","1404","1479","1406","1346"
"89","CVG","0","0","0","0","0","0","0","0","0","0","0","0","0","0","973","1667","19929","5727","8891","8145","6928","3727","2760","9180","8093"
"90","CWA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","874","940"
"91","CYS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
