"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"2","Small","2454","3959","2491","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"3","Med","8709","9473","7037","4128","0","0","0","0","0","1","0","0","0","0","0","0","79","0","0","0","0","0","0","0","0"
"4","Large","184425","202882","210368","194938","176756","177851","194508","203001","206304","203070","209496","219160","209979","196111","189519","195939","197774","0","0","0","0","0","0","0","0"
