"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26"
"1","","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"2","Small","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1108"
"3","Med","5712","6890","5180","3626","3140","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1784","2907","3033","4454"
"4","Large","283090","315869","363554","419286","485192","565426","693101","757419","794849","815069","853683","911699","957145","956745","958566","990404","1036034","1099321","1168871","1201754","1132278","1122703","1152810","1137502","1125142"
